lot_no,artist,title,year_birth,year_death,price_sold,estimate,signature,medium,dim_0,dim_1,year_creation,provenence,image_url
503,Pierre-Auguste Renoir,Fillette lisant,1841,1919,"USD 372,500","USD 300,000 - USD 500,000",signed 'Renoir.' (lower left),oil on canvas,30.3,24.2,Painted   circa  1910,"
    Galerie Durand-Ruel et Cie., Paris (acquired from the artist, July 1914).
    
    Durand-Ruel Galleries, New York (acquired from the above, 1921).
    
    Jean d'Alayer, Paris (acquired from the above, 1949).
    
    Galerie de l'Île de France, Paris.
    
    Private collection, Japan (acquired from the above, April 1972).
    
    Galerie Nichido, Tokyo.
    
    Acquired from the above by the present owner, October 1972.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0503_000(pierre-auguste_renoir_fillette_lisant).jpg?w=400
446,André Derain,L'église de Crécy-en-Brie,1880,1954,"USD 30,000","USD 30,000 - USD 50,000",signed 'a derain' (upper right),oil on canvas,54.8,53.5,Painted in 1911,"
    Galerie Kahnweiler, Paris.
    
    H.F. Secker, Cologne.
    
    Richard Goetz, Paris.
    
    Albert Otten, New Jersey (acquired from the above, by 1937); Estate sale, Christie's, New York, 25 September 2003, lot 522.
    
    Anon. (acquired at the above sale); sale, Christie's, New York, 14 September 2005, lot 124.
    
    Acquired at the above sale by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0446_000(andre_derain_leglise_de_crecy-en-brie).jpg?w=400
368,Henri Matisse,"Paysage, St. Tropez",1869,1954,"USD 324,500","USD 300,000 - USD 500,000",signed with initials 'H.M.' (lower left),oil over pencil on panel,30,17.8,Painted   circa  1904,"
    Pierre Matisse, New York.
    
    Pierre-Noël Matisse, Paris (by descent from the above).
    
    By descent from the above to the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0368_000(henri_matisse_paysage_st_tropez).jpg?w=400
387,Ewald Mataré,"Kleine liegende Kuh II ""Porzellankuh""",1887,1965,"USD 37,500","USD 30,000 - USD 50,000",signed with monogram (on the left side); signed again with monogram (on the rim),bronze with gold and brown patina,22.8,N.A.,Conceived and cast in 1936,"
    Anon. sale, Sotheby's, New York, 21 February 2002, lot 76.
    
    Acquired at the above sale by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0387_000(ewald_matare_kleine_liegende_kuh_ii_porzellankuh).jpg?w=400
411,Naum Gabo,Linear Construction in Space No. 2,1890,1977,"USD 250,000","USD 200,000 - USD 300,000",signed twice 'N GABO Gabo' (near the lower edge),Perspex with nylon monofilament,38.5,N.A.,Executed   circa  1957-1958; unique,"
    Acquired from the artist by the family of the present owner, 1958.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0411_000(naum_gabo_linear_construction_in_space_no_2).jpg?w=400
391,Jean Lurçat,Paysage espagnol,1892,1966,"USD 17,500","USD 12,000 - USD 18,000",signed and dated 'Lurçat 24' (lower right),oil on canvas,60.3,91.1,Painted in 1924,"
    Private collection, Sweden; sale, Christie's, New York, 29 September 2004, lot 97.
    
    Acquired at the above sale by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0391_000(jean_lurcat_paysage_espagnol).jpg?w=400
329,Chaïm Soutine,L'arbre de Vence,1893,1943,"USD 792,500","USD 700,000 - USD 1,000,000",signed 'Soutine' (lower left),oil on canvas,75,66.2,Painted   circa  1929,"
    Collection M. R. B., Paris; sale, Hôtel Drouot, Paris, 3 June 1937, lot 22.
    
    Galerie Max Kaganovitch, Paris.
    
    Acquired from the above by the family of the present owner, by 1951.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0329_000(chaim_soutine_larbre_de_vence).jpg?w=400
450,Albert Lebourg,Le bas de Meudon depuis les hauteurs de Bellevue,1849,1928,"USD 17,500","USD 15,000 - USD 20,000",signed 'Albert Lebourg.' (lower left),oil on canvas,43.5,63.3,N.A.,"
    Anon. sale, Sotheby's, New York, 23 February 2006, lot 26.
    
    Acquired at the above sale by the late owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0450_000(albert_lebourg_le_bas_de_meudon_pris_des_hauteurs_de_bellevue).jpg?w=400
352,Pierre-Auguste Renoir,Roses dans un vase de fleurs,1841,1919,"USD 432,500","USD 300,000 - USD 500,000",signed 'Renoir.' (lower right),oil on canvas,42.1,36.7,N.A.,"
    Galerie Daniel Malingue, Paris.
    
    Private collection, Europe (acquired from the above, 1983); Estate sale, Sotheby's, New York, 8 May 2014, lot 143.
    
    Acquired at the above sale by the present owner.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0352_000(pierre-auguste_renoir_roses_dans_un_vase_de_fleurs).jpg?w=400
305,Rembrandt Bugatti,"Le grand éléphant du Muséum ""Rachel""",1884,1916,"USD 732,500","USD 500,000 - USD 700,000","signed, dated, numbered, inscribed and stamped with foundry mark 'R Bugatti 1903 (3) Paris A.A. HÉBRARD CIRE PERDUE' (on the top of the base)",bronze with dark brown patina,61,47,Conceived   circa  1903-1904,"
    Private collection, Paris.
    
    Acquired from the above by the present owner, December 1985.
   ",https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0305_000(rembrandt_bugatti_le_grand_elephant_du_museum_rachel).jpg?w=400
